Time[s], Channel 0
0.000000000000000, 1
4.526415000000000, 0
4.527072750000000, 1
4.527436750000001, 0
4.528094500000000, 1
4.528458333333334, 0
4.528555333333333, 1
4.529479916666667, 0
4.529576916666667, 1
4.530501416666667, 0
4.530598416666667, 1
4.531523000000000, 0
4.531620000000000, 1
4.532544750000000, 0
4.533202416666667, 1
4.533566500000000, 0
4.534224166666667, 1
4.534588000000000, 0
4.534685083333334, 1
4.535609750000000, 0
4.536267500000000, 1
4.536631333333333, 0
4.536728333333333, 1
4.537652916666667, 0
4.537750000000000, 1
4.538674666666667, 0
4.539332416666667, 1
4.539696250000000, 0
4.539793250000001, 1
4.540717833333334, 0
4.540814833333334, 1
4.541739416666667, 0
4.541836416666667, 1
4.542760916666667, 0
4.542857916666667, 1
4.543782500000000, 0
4.543879500000000, 1
4.544804083333333, 0
4.544901083333333, 1
4.545825750000001, 0
4.546483500000000, 1
4.546847333333334, 0
4.546944416666667, 1
4.547868916666667, 0
4.547965916666667, 1
4.571585666666667, 0
4.572235916666667, 1
4.572598416666667, 0
4.573246666666667, 1
4.573611583333333, 0
4.573705666666667, 1
4.574625500000001, 0
4.575274666666667, 1
4.575639416666667, 0
4.575733333333334, 1
4.576652000000000, 0
4.577298833333334, 1
4.577663583333334, 0
4.577757500000001, 1
4.578677083333334, 0
4.579326166666667, 1
4.579691000000000, 0
4.579784833333334, 1
4.580705250000000, 0
4.580798916666667, 1
4.643439833333334, 0
4.644086166666667, 1
4.644453166666667, 0
4.645101500000000, 1
4.645463750000000, 0
4.646112916666667, 1
4.646477833333334, 0
4.646571916666667, 1
4.647489333333334, 0
4.647583333333333, 1
4.648502750000000, 0
4.649151333333333, 1
4.649519083333334, 0
4.650167000000001, 1
4.650532083333333, 0
4.651179083333334, 1
4.651543416666667, 0
4.651636083333334, 1
4.652554583333334, 0
4.653200416666667, 1
4.653567166666667, 0
4.653659750000000, 1
4.654581000000000, 0
4.654673500000000, 1
4.655593750000000, 0
4.656239166666667, 1
4.656605666666667, 0
4.657252833333334, 1
