Time[s], Channel 0
0.000000000000000, 0
0.298387000000000, 1
0.298387083333333, 0
0.298387166666667, 1
0.298387250000000, 0
0.298387333333333, 1
0.298387416666667, 0
0.298387500000000, 1
0.298387583333333, 0
0.298387666666667, 1
0.298387750000000, 0
0.298387833333333, 1
0.298387916666667, 0
0.298388000000000, 1
0.298388083333333, 0
0.298388166666667, 1
0.321247333333333, 0
0.321905833333333, 1
0.322259500000000, 0
0.322916583333333, 1
0.323273166666667, 0
0.323375500000000, 1
0.324285250000000, 0
0.324940333333333, 1
0.325296750000000, 0
0.325399000000000, 1
0.326309333333333, 0
0.326964500000000, 1
0.327320916666667, 0
0.327423166666667, 1
0.328333500000000, 0
0.328990583333333, 1
0.329344916666667, 0
0.329447250000000, 1
0.330357166666667, 0
0.330459333333333, 1
0.393094416666667, 0
0.393751166666667, 1
0.394105166666667, 0
0.394761916666667, 1
0.395118583333333, 0
0.395776000000000, 1
0.396132750000000, 0
0.396235000000000, 1
0.397144500000000, 0
0.397247000000000, 1
0.398157750000000, 0
0.398814750000000, 1
0.399172166666667, 0
0.399829166666667, 1
0.400183833333333, 0
0.400840166666667, 1
0.401197166666667, 0
0.401298833333333, 1
0.402209666666667, 0
0.402864583333333, 1
0.403222250000000, 0
0.403323916666667, 1
0.404236750000000, 0
0.404338333333333, 1
0.405248166666667, 0
0.405904000000000, 1
0.406260416666667, 0
0.406917750000000, 1
0.407271833333333, 0
0.407373416666667, 1
0.408284750000000, 0
0.408386166666667, 1
0.409297083333333, 0
0.409953500000000, 1
0.410308916666667, 0
0.410963916666667, 1
0.417293083333333, 0
0.417953250000000, 1
0.418303750000000, 0
0.418961666666667, 1
0.419316916666667, 0
0.419976416666667, 1
0.420328000000000, 0
0.420432083333333, 1
0.421339250000000, 0
0.421443166666667, 1
0.422351250000000, 0
0.423009000000000, 1
0.423362833333333, 0
0.424023000000000, 1
0.424374916666667, 0
0.424479000000000, 1
0.425387833333333, 0
0.426047166666667, 1
0.426400416666667, 0
0.427058250000000, 1
0.427411916666667, 0
0.428069333333333, 1
0.428425583333333, 0
0.429085333333333, 1
0.434416083333333, 0
0.435075166666667, 1
0.435428166666667, 0
0.436088666666667, 1
0.436440250000000, 0
0.436544333333333, 1
0.437452833333333, 0
0.437556666666667, 1
0.438463666666667, 0
0.438568000000000, 1
0.439475416666667, 0
0.439579666666667, 1
0.440487000000000, 0
0.441147500000000, 1
0.441498000000000, 0
0.441602166666667, 1
0.442509166666667, 0
0.443166666666667, 1
0.443520416666667, 0
0.444181416666667, 1
0.444532250000000, 0
0.445190166666667, 1
0.445543333333333, 0
0.446201250000000, 1
0.446554416666667, 0
0.447214000000000, 1
0.447569250000000, 0
0.448227666666667, 1
0.448582333333333, 0
0.449242750000000, 1
0.449593750000000, 0
0.450252500000000, 1
0.696463166666667, 0
0.697121666666667, 1
0.697474250000000, 0
0.698132416666667, 1
0.698488666666667, 0
0.699147166666667, 1
0.699501333333333, 0
0.699605166666667, 1
0.700515833333333, 0
0.701176250000000, 1
0.701527333333333, 0
0.702186333333333, 1
0.702541416666667, 0
0.703201000000000, 1
0.703554083333333, 0
0.704211166666667, 1
0.704565166666667, 0
0.704669166666667, 1
0.705578500000000, 0
0.706236250000000, 1
0.706591000000000, 0
0.706694916666667, 1
0.707603666666667, 0
0.707707333333333, 1
0.708615333333333, 0
0.709273750000000, 1
0.709626916666667, 0
0.710285833333333, 1
0.710638833333333, 0
0.710742833333333, 1
0.711651750000000, 0
0.711755500000000, 1
0.712665166666667, 0
0.713322666666667, 1
0.713676083333333, 0
0.713780000000000, 1
0.717856250000000, 0
0.718502250000000, 1
0.718872250000000, 0
0.719522000000000, 1
0.719890000000000, 0
0.719982500000000, 1
0.720906833333333, 0
0.720999250000000, 1
0.721922583333333, 0
0.722015000000000, 1
0.722940000000000, 0
0.723032500000000, 1
0.723957416666667, 0
