Time[s], Channel 0
0.000000000000000, 1
1.910051833333333, 0
1.910704750000000, 1
1.911069083333333, 0
1.911722750000000, 1
1.912084750000000, 0
1.912181666666667, 1
1.913102500000000, 0
1.913199333333333, 1
1.914119666666667, 0
1.914216333333334, 1
1.915137000000000, 0
1.915233666666667, 1
1.916152666666667, 0
1.916807416666667, 1
1.917169583333334, 0
1.917821750000000, 1
1.918186583333333, 0
1.918283333333333, 1
1.919204583333334, 0
1.919857083333333, 1
1.920221750000000, 0
1.920318666666667, 1
1.921237500000000, 0
1.921334333333333, 1
1.922254166666667, 0
1.922906750000000, 1
1.923269750000000, 0
1.923366666666667, 1
1.924289000000000, 0
1.924385666666667, 1
1.925307000000000, 0
1.925403666666667, 1
1.926323000000000, 0
1.926419666666667, 1
1.927339666666667, 0
1.927436333333334, 1
1.928355333333333, 0
1.928452000000000, 1
1.929372583333334, 0
1.930027083333334, 1
1.930388750000000, 0
1.930485666666667, 1
1.931405500000000, 0
1.931502333333333, 1
3.799362333333334, 0
3.800017500000000, 1
3.800377083333334, 0
3.801030500000000, 1
3.801394000000000, 0
3.801490750000000, 1
3.802409916666667, 0
3.802506500000000, 1
3.803426166666667, 0
3.803522750000000, 1
3.804443416666667, 0
3.804540166666667, 1
3.805460333333333, 0
3.806115166666667, 1
3.806476250000000, 0
3.807130166666667, 1
3.807494583333333, 0
3.807591416666667, 1
3.808513333333333, 0
3.809166833333334, 1
3.809530416666667, 0
3.809627083333333, 1
3.810547500000000, 0
3.810644083333333, 1
3.811566833333333, 0
3.812220500000000, 1
3.812582666666667, 0
3.812679416666667, 1
3.813600166666667, 0
3.813696750000000, 1
3.814616750000000, 0
3.814713416666667, 1
3.815633000000000, 0
3.816288500000000, 1
3.816648916666667, 0
3.816745750000000, 1
4.119484583333334, 0
4.120136833333333, 1
4.120501666666667, 0
4.121157500000000, 1
4.121517666666667, 0
4.121614333333333, 1
4.122535833333334, 0
4.122632416666667, 1
4.123553083333333, 0
4.123649750000000, 1
4.124570000000000, 0
4.124666750000000, 1
4.125586333333334, 0
4.126238833333334, 1
4.126601916666667, 0
4.127256833333334, 1
4.127618666666667, 0
4.127715416666667, 1
4.128635166666667, 0
4.129287500000000, 1
4.129650583333333, 0
4.129747166666667, 1
4.130666416666667, 0
4.130762833333334, 1
4.131682750000000, 0
4.131779166666667, 1
4.132698416666667, 0
4.132794833333334, 1
4.133715416666667, 0
4.133811833333334, 1
4.134731000000000, 0
4.134827500000000, 1
4.135747333333334, 0
4.135843833333333, 1
4.136765000000000, 0
4.136861583333333, 1
4.137780333333334, 0
4.137876916666667, 1
4.138798083333334, 0
4.138894583333333, 1
4.139814583333334, 0
4.139910916666667, 1
4.140830250000000, 0
4.140926583333334, 1
4.141846583333334, 0
4.141943000000000, 1
4.142864583333334, 0
4.143519083333334, 1
4.143881166666667, 0
4.143977666666667, 1
4.144897833333333, 0
4.145551416666667, 1
