Time[s], Channel 0
0.000000000000000, 1
3.598969250000000, 0
3.599627000000000, 1
3.599991000000000, 0
3.600648666666667, 1
3.601012583333334, 0
3.601109583333334, 1
3.602034083333334, 0
3.602131166666667, 1
3.603055666666667, 0
3.603152666666667, 1
3.604077166666667, 0
3.604174250000000, 1
3.605098916666667, 0
3.605756666666667, 1
3.606120666666667, 0
3.606778333333334, 1
3.607142250000000, 0
3.607239250000000, 1
3.608164000000000, 0
3.608821666666667, 1
3.609185500000000, 0
3.609282500000000, 1
3.610207083333334, 0
3.610304166666667, 1
3.611228833333334, 0
3.611886500000000, 1
3.612250416666667, 0
3.612347416666667, 1
3.613271916666667, 0
3.613369000000000, 1
3.614293500000000, 0
3.614390500000000, 1
3.615315000000000, 0
3.615412083333334, 1
3.616336583333334, 0
3.616433583333333, 1
3.617358166666667, 0
3.617455166666667, 1
3.618379833333333, 0
3.619037583333334, 1
3.619401416666667, 0
3.619498416666667, 1
3.620423000000000, 0
3.620520000000000, 1
3.643201000000000, 0
3.643851250000000, 1
3.644213666666667, 0
3.644862000000000, 1
3.645226916666667, 0
3.645321000000000, 1
3.646240833333334, 0
3.646890083333334, 1
3.647254833333334, 0
3.647348750000000, 1
3.648267416666667, 0
3.648914166666667, 1
3.649279083333334, 0
3.649372833333334, 1
3.650292666666667, 0
3.650941666666667, 1
3.651306583333334, 0
3.651400333333334, 1
3.652320833333333, 0
3.652414333333334, 1
3.715053750000000, 0
3.715699333333334, 1
3.716065416666667, 0
3.716713333333334, 1
3.717074833333334, 0
3.717722166666667, 1
3.718086583333334, 0
3.718180833333334, 1
3.719099500000000, 0
3.719193500000000, 1
3.720112916666667, 0
3.720761916666667, 1
3.721128416666667, 0
3.721775333333333, 1
3.722140166666667, 0
3.722786666666667, 1
3.723153500000000, 0
3.723246000000000, 1
3.724166000000000, 0
3.724812416666667, 1
3.725178583333334, 0
3.725271083333333, 1
3.726191416666667, 0
3.726283833333333, 1
3.727203083333333, 0
3.727850833333334, 1
3.728217250000000, 0
3.728863250000000, 1
3.729231333333333, 0
3.729323916666667, 1
3.730242833333334, 0
3.730335333333334, 1
3.731254583333333, 0
3.731903333333333, 1
3.732266166666667, 0
3.732911500000000, 1
3.733888000000000, 0
3.734553333333333, 1
3.734917333333334, 0
3.735582666666667, 1
3.735946500000000, 0
3.736043583333334, 1
3.736975666666667, 0
3.737072666666667, 1
3.738004916666667, 0
3.738101916666667, 1
3.739034000000000, 0
3.739131083333334, 1
3.740063416666667, 0
3.740721083333334, 1
3.741092750000000, 0
3.741750416666667, 1
3.742121833333333, 0
3.742218916666667, 1
3.743151250000000, 0
3.743808916666667, 1
3.744180333333333, 0
3.744277416666667, 1
3.745209500000000, 0
3.745306583333333, 1
3.746238833333333, 0
3.746896583333334, 1
3.747268000000000, 0
3.747365000000000, 1
3.748297166666667, 0
3.748394166666667, 1
3.749326333333334, 0
3.749423333333334, 1
3.750355500000000, 0
3.750452500000000, 1
3.751384666666667, 0
3.751481666666667, 1
3.752413833333334, 0
3.752510833333333, 1
3.753443166666667, 0
3.754100833333334, 1
3.754472250000000, 0
3.754569333333333, 1
3.755501416666667, 0
3.755598500000000, 1
3.759647333333334, 0
3.760297166666667, 1
3.760659750000000, 0
3.761309583333333, 1
3.761671666666667, 0
3.762320666666667, 1
3.762684666666667, 0
3.762780333333334, 1
3.763696583333334, 0
3.763792083333334, 1
3.764708333333334, 0
3.765358583333334, 1
3.765719333333334, 0
3.766368000000000, 1
3.766732750000000, 0
3.767384000000000, 1
3.767744083333334, 0
3.767839750000000, 1
3.768756333333334, 0
3.769405833333333, 1
3.769770583333333, 0
3.769866166666667, 1
3.770784833333333, 0
3.770880250000000, 1
3.771796500000000, 0
3.772445333333334, 1
3.772809500000000, 0
3.773459750000000, 1
3.773822916666667, 0
3.773918416666667, 1
3.774836833333334, 0
3.774932166666667, 1
3.775850166666667, 0
3.776499583333333, 1
3.776861750000000, 0
3.777511000000000, 1
3.782848250000000, 0
3.783498833333334, 1
3.783862750000000, 0
3.784513916666667, 1
3.784876750000000, 0
3.785526333333334, 1
3.785888500000000, 0
3.785984000000000, 1
3.786900083333334, 0
3.786995416666667, 1
3.787912416666667, 0
3.788562166666667, 1
3.788924250000000, 0
3.789573583333333, 1
3.789938416666667, 0
3.790033916666667, 1
3.790950250000000, 0
3.791600333333334, 1
3.791964500000000, 0
3.792614750000000, 1
3.792976166666667, 0
3.793625500000000, 1
3.793987333333333, 0
3.794637250000000, 1
3.799976500000000, 0
3.800626500000000, 1
3.800988916666667, 0
3.801639500000000, 1
3.802002666666667, 0
3.802098166666667, 1
3.803014500000000, 0
3.803109916666667, 1
3.804027000000000, 0
3.804122333333333, 1
3.805040083333334, 0
3.805135333333334, 1
3.806051833333334, 0
3.806703166666667, 1
3.807065750000000, 0
3.807161166666667, 1
3.808080250000000, 0
3.808731250000000, 1
3.809093083333333, 0
3.809742000000000, 1
3.810105166666667, 0
3.810756750000000, 1
3.811119166666667, 0
3.811769500000000, 1
3.812133583333333, 0
3.812783833333333, 1
3.813144666666667, 0
3.813794250000000, 1
3.814155833333333, 0
3.814807000000000, 1
3.815169833333333, 0
3.815820333333333, 1
4.014251750000001, 0
4.014900416666667, 1
4.015266416666667, 0
4.015914833333333, 1
4.016279500000000, 0
4.016929166666667, 1
